ID		from		to
549	;	204320 KS	;	TTMT IN
550	;	204320 KS	;	UG FP
551	;	204320 KS	;	VOLVB SS
552	;	204320 KS	;	VOW GR
553	;	212560 KS	;	000270 KS
554	;	212560 KS	;	005380 KS
555	;	214330 KS	;	066570 KS
556	;	215360 KS	;	204320 KS
557	;	2228 TT	;	ALV US
558	;	2228 TT	;	CA FP
559	;	2228 TT	;	NOC US
560	;	234100 KS	;	018880 KS
561	;	234100 KS	;	BOS IN
562	;	300176 CH	;	6501 JP
563	;	300176 CH	;	F US
564	;	300176 CH	;	STLA US
565	;	300421 CH	;	MRO LN
566	;	300421 CH	;	SKFB SS
567	;	300652 CH	;	SKFB SS
568	;	3116 JP	;	000927 CH
569	;	3116 JP	;	300230 CH
570	;	3116 JP	;	600742 CH
571	;	3116 JP	;	6902 JP
572	;	3116 JP	;	7201 JP
573	;	3116 JP	;	7202 JP
574	;	3116 JP	;	7205 JP
575	;	3116 JP	;	7211 JP
576	;	3116 JP	;	7261 JP
577	;	3116 JP	;	7267 JP
578	;	3116 JP	;	7269 JP
579	;	3116 JP	;	7270 JP
580	;	3116 JP	;	BMW GR
581	;	3116 JP	;	GM US
582	;	3116 JP	;	PCAR US
583	;	3116 JP	;	STLA US
584	;	3434 JP	;	VOW GR
585	;	3526 JP	;	7261 JP
586	;	3526 JP	;	7269 JP
587	;	4246 JP	;	000800 CH
588	;	4246 JP	;	3402 JP
589	;	4246 JP	;	6201 JP
590	;	4246 JP	;	6473 JP
591	;	4246 JP	;	6752 JP
592	;	4246 JP	;	6902 JP
593	;	4246 JP	;	6923 JP
594	;	4246 JP	;	6995 JP
595	;	4246 JP	;	7201 JP
596	;	4246 JP	;	7203 JP
597	;	4246 JP	;	7211 JP
598	;	4246 JP	;	7259 JP
599	;	4246 JP	;	7261 JP
600	;	4246 JP	;	7267 JP
601	;	4246 JP	;	7269 JP
602	;	4246 JP	;	7270 JP
603	;	4246 JP	;	7276 JP
604	;	4246 JP	;	DAI GR
605	;	4246 JP	;	F US
606	;	4246 JP	;	VC US
607	;	425 HK	;	000270 KS
608	;	425 HK	;	005380 KS
609	;	425 HK	;	200625 CH
610	;	425 HK	;	2333 HK
611	;	425 HK	;	7201 JP
612	;	425 HK	;	7203 JP
613	;	425 HK	;	7211 JP
614	;	425 HK	;	7261 JP
615	;	425 HK	;	7267 JP
616	;	425 HK	;	7269 JP
617	;	425 HK	;	BMW GR
618	;	425 HK	;	DAI GR
619	;	425 HK	;	F US
620	;	425 HK	;	GM US
621	;	425 HK	;	RNO FP
622	;	425 HK	;	STLA US
623	;	425 HK	;	TTMT IN
624	;	425 HK	;	UG FP
625	;	425 HK	;	VOW GR
626	;	4523 TT	;	2201 TT
627	;	4523 TT	;	6305 JP
628	;	4551 TT	;	ABBN SW
629	;	4551 TT	;	AIR FP
630	;	4551 TT	;	BWA US
631	;	4551 TT	;	CON GR
632	;	4551 TT	;	DE US
633	;	4551 TT	;	ETN US
634	;	4551 TT	;	KBX GR
635	;	4551 TT	;	MAN GR
636	;	4551 TT	;	MDT US
637	;	4551 TT	;	MG CN
638	;	4551 TT	;	PH US
639	;	4551 TT	;	RNO FP
640	;	4551 TT	;	SHA GR
641	;	4551 TT	;	STX US
642	;	4551 TT	;	UG FP
643	;	5161 JP	;	7261 JP
644	;	5184 JP	;	6902 JP
645	;	5184 JP	;	7012 JP
646	;	5184 JP	;	7201 JP
647	;	5184 JP	;	7203 JP
648	;	5184 JP	;	7211 JP
649	;	5184 JP	;	7267 JP
650	;	5184 JP	;	7269 JP
651	;	5184 JP	;	7270 JP
652	;	5184 JP	;	7272 JP
653	;	5184 JP	;	8015 JP
654	;	5184 JP	;	BJAUT IN
655	;	5184 JP	;	F US
656	;	5184 JP	;	GM US
657	;	5184 JP	;	HMCL IN
658	;	5184 JP	;	RNO FP
659	;	5184 JP	;	STLA US
660	;	5184 JP	;	UG FP
661	;	5184 JP	;	VOW GR
662	;	5191 JP	;	6902 JP
663	;	5191 JP	;	7201 JP
664	;	5191 JP	;	7202 JP
665	;	5191 JP	;	7203 JP
666	;	5191 JP	;	7205 JP
667	;	5191 JP	;	7211 JP
668	;	5191 JP	;	7259 JP
669	;	5191 JP	;	7261 JP
670	;	5191 JP	;	7267 JP
671	;	5191 JP	;	7269 JP
672	;	5191 JP	;	7270 JP
673	;	5191 JP	;	BMW GR
674	;	5191 JP	;	DAI GR
675	;	5191 JP	;	F US
676	;	5191 JP	;	GM US
677	;	5191 JP	;	STLA US
678	;	5191 JP	;	UG FP
679	;	5191 JP	;	VOLVB SS
680	;	5191 JP	;	VOW GR
681	;	5288 TT	;	PII US
682	;	5288 TT	;	TXT US
683	;	5334 JP	;	000270 KS
684	;	5334 JP	;	005380 KS
685	;	5334 JP	;	175 HK
686	;	5334 JP	;	6326 JP
687	;	5334 JP	;	7201 JP
688	;	5334 JP	;	7203 JP
689	;	5334 JP	;	7211 JP
690	;	5334 JP	;	7261 JP
691	;	5334 JP	;	7267 JP
